Date,Name,Year,Letterboxd URI
2021-07-27,Aquaman,2018,https://boxd.it/9ru0
2021-07-27,10 Cloverfield Lane,2016,https://boxd.it/aZiu
2021-07-27,Ocean's Eight,2018,https://boxd.it/eaai
2021-07-27,mid90s,2018,https://boxd.it/fxIa
2021-07-27,Wonder Woman 1984,2020,https://boxd.it/gBtA
2021-07-27,Being John Malkovich,1999,https://boxd.it/2ahu
2021-07-27,The Pianist,2002,https://boxd.it/2aqc
2021-07-27,City of God,2002,https://boxd.it/2a2a
2021-07-27,Crazy Rich Asians,2018,https://boxd.it/gfnK
2021-07-27,Enemy,2013,https://boxd.it/5xtO
2021-07-27,A Quiet Place Part II,2020,https://boxd.it/iTx0
2021-07-27,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa
2021-07-27,The Usual Suspects,1995,https://boxd.it/29XE
2021-07-27,Ready or Not,2019,https://boxd.it/kOf0
2021-07-27,You Were Never Really Here,2017,https://boxd.it/dWOS
2021-07-27,Zack Snyder's Justice League,2021,https://boxd.it/tLOk
2021-07-27,The Devil All the Time,2020,https://boxd.it/i2tY
2021-07-27,Cruella,2021,https://boxd.it/bbKg
2021-07-27,The Babadook,2014,https://boxd.it/77xu
2021-07-27,Watchmen,2009,https://boxd.it/1QE4
2021-07-27,Do the Right Thing,1989,https://boxd.it/29gA
2021-07-27,Slumdog Millionaire,2008,https://boxd.it/1S3E
2021-07-27,Shoplifters,2018,https://boxd.it/ifY6
2021-07-27,Kick-Ass,2010,https://boxd.it/1zaQ
2021-07-27,Jennifer's Body,2009,https://boxd.it/1Efw
2021-07-27,The Platform,2019,https://boxd.it/mUm6
2021-07-27,Looper,2012,https://boxd.it/ham
2021-07-27,Almost Famous,2000,https://boxd.it/29CQ
2021-07-27,Doctor Sleep,2019,https://boxd.it/i5vI
2021-07-27,Into the Wild,2007,https://boxd.it/22m2
2021-07-27,The Virgin Suicides,1999,https://boxd.it/28JG
2021-07-27,We Need to Talk About Kevin,2011,https://boxd.it/2pTS
2021-07-27,Glass,2019,https://boxd.it/g3uO
2021-07-27,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw
2021-07-27,Casino,1995,https://boxd.it/2ads
2021-07-27,The Incredible Hulk,2008,https://boxd.it/28dU
2021-07-27,"Paris, Texas",1984,https://boxd.it/29Ts
2021-07-27,Argo,2012,https://boxd.it/2czU
2021-07-27,"Synecdoche, New York",2008,https://boxd.it/23zw
2021-07-27,A Beautiful Mind,2001,https://boxd.it/2amk
2021-07-27,The Gentlemen,2019,https://boxd.it/iYBQ
2021-07-27,Unbreakable,2000,https://boxd.it/1XV2
2021-07-27,Melancholia,2011,https://boxd.it/bPI
2021-07-27,The Hunt,2012,https://boxd.it/3wEC
2021-07-27,Honey Boy,2019,https://boxd.it/ixvm
2021-07-27,Vice,2018,https://boxd.it/fcFY
2021-07-27,Searching,2018,https://boxd.it/hDPg
2021-07-27,Gangs of New York,2002,https://boxd.it/25FG
2021-07-27,Atonement,2007,https://boxd.it/24ui
2021-07-27,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs
2021-07-27,Alita: Battle Angel,2019,https://boxd.it/e0rS
2021-07-27,A Simple Favor,2018,https://boxd.it/hq92
2023-01-15,The Menu,2022,https://boxd.it/lScm
2023-01-15,Glass Onion,2022,https://boxd.it/oCkK
